title,views,length,video_id,publish_date,url
Jonathan Haidt: The Case Against Social Media | Lex Fridman Podcast #291,1028518,6126,f0un-l1L8Zw,2022-06-04 00:00:00,https://www.youtube.com/watch?v=f0un-l1L8Zw
Dan Reynolds: Imagine Dragons | Lex Fridman Podcast #290,299989,7920,jvGZkf87aCs,2022-05-30 00:00:00,https://www.youtube.com/watch?v=jvGZkf87aCs
"Stephen Kotkin: Putin, Stalin, Hitler, Zelenskyy, and War in Ukraine | Lex Fridman Podcast #289",3247550,9669,2a7CDKqWcZ0,2022-05-25 00:00:00,https://www.youtube.com/watch?v=2a7CDKqWcZ0
"Sarma Melngailis: Bad Vegan, Fraud, Prison, and Sociopathy | Lex Fridman Podcast #288",243430,15300,iZjby1LkTWQ,2022-05-23 00:00:00,https://www.youtube.com/watch?v=iZjby1LkTWQ
"Bobby Lee: Comedy, Skyrim, Sex Robots, Love, Fame, and Power | Lex Fridman Podcast #287",1694995,5949,tOTenjh_8hw,2022-05-20 00:00:00,https://www.youtube.com/watch?v=tOTenjh_8hw
Oliver Stone: Vladimir Putin and War in Ukraine | Lex Fridman Podcast #286,3851113,6759,ygAqYC8JOQI,2022-05-17 00:00:00,https://www.youtube.com/watch?v=ygAqYC8JOQI
"Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics | Lex Fridman Podcast #284",615462,15280,gp4U5aH_T6A,2022-05-11 00:00:00,https://www.youtube.com/watch?v=gp4U5aH_T6A
"Chris Mason: Space Travel, Colonization, and Long-Term Survival in Space | Lex Fridman Podcast #283",1864922,10505,1C2tPFCGL1U,2022-05-08 00:00:00,https://www.youtube.com/watch?v=1C2tPFCGL1U
"David Buss: Sex, Dating, Relationships, and Sex Differences | Lex Fridman Podcast #282",976801,12762,sndW9hzX-wA,2022-05-04 00:00:00,https://www.youtube.com/watch?v=sndW9hzX-wA
Lex Fridman interviews a goose,192473,118,QqRV5FD8ob4,2022-05-03 00:00:00,https://www.youtube.com/watch?v=QqRV5FD8ob4
"Grimes: Music, AI, and the Future of Humanity | Lex Fridman Podcast #281",1967700,7498,KOwm7GUjcg8,2022-04-29 00:00:00,https://www.youtube.com/watch?v=KOwm7GUjcg8
Cristiano Amon: Qualcomm CEO | Lex Fridman Podcast #280,148091,4150,KMgPxVnKLSk,2022-04-27 00:00:00,https://www.youtube.com/watch?v=KMgPxVnKLSk
"Skye Fitzgerald: Hunger, War, and Human Suffering | Lex Fridman Podcast #278",116170,8948,dHTgffkpeYo,2022-04-20 00:00:00,https://www.youtube.com/watch?v=dHTgffkpeYo
"Andrew Huberman: Focus, Stress, Relationships, and Friendship | Lex Fridman Podcast #277",3721028,12322,lvh3g7eszVQ,2022-04-17 00:00:00,https://www.youtube.com/watch?v=lvh3g7eszVQ
"Michael Saylor: Bitcoin, Inflation, and the Future of Money | Lex Fridman Podcast #276",7858892,14214,mC43pZkpTec,2022-04-14 00:00:00,https://www.youtube.com/watch?v=mC43pZkpTec
Rick Rubin: Legendary Music Producer | Lex Fridman Podcast #275,1450912,7456,H_szemxPcTI,2022-04-10 00:00:00,https://www.youtube.com/watch?v=H_szemxPcTI
"Karl Deisseroth: Depression, Schizophrenia, and Psychiatry | Lex Fridman Podcast #274",553599,12089,OaeYUm06in0,2022-04-07 00:00:00,https://www.youtube.com/watch?v=OaeYUm06in0
